Video Gallery — Api Gallery, YouTube and Vimeo, Link Gallery;https://ru.wordpress.org/plugins/new-video-gallery/;Видеогалерея Vimeo/YouTube. Плагин позволяет создавать галереи YouTube и Vimeo.;3 000+ активных установок;6.3.2
WordPress Email Marketing Plugin — WP Email Capture;https://ru.wordpress.org/plugins/wp-email-capture/;Double opt-in form for building your email list. Define landing pages to distribute your ebooks…;3 000+ активных установок;6.4
Appointment Booking Calendar;https://ru.wordpress.org/plugins/appointment-booking-calendar/;Календарь записи на прием — это календарь назначений для приема онлайн-заказов из набора доступных временных…;2 000+ активных установок;6.3.2
List Last Changes;https://ru.wordpress.org/plugins/list-last-changes/;Отображение списка последних изменений на WordPress-сайте.;2 000+ активных установок;6.3.2
Gosign — Contact Person Box Block;https://ru.wordpress.org/plugins/gosign-contact-person-box-block/;This plugin enables you to customize the contact person box block with title, discription phone…;2 000+ активных установок;6.0.6
WordPress CRM, Email & Marketing Automation for WordPress | Award Winner — Groundhogg;https://ru.wordpress.org/plugins/groundhogg/;Groundhogg is the best WordPress CRM & Marketing Automation plugin. Create funnels, email campaigns, newsletters,…;2 000+ активных установок;6.2.3
Premium Blocks for Gutenberg;https://ru.wordpress.org/plugins/premium-blocks-for-gutenberg/;Premium Blocks for Gutenberg helps you build amazing pages with the new WordPress Gutenberg editor.;2 000+ активных установок;6.3.2
Gosign — Background Container Block;https://ru.wordpress.org/plugins/gosign-background-container/;This plugin creates a background container which holds all kinds of elements with 40+ background…;2 000+ активных установок;6.0.6
MAZ Loader – Preloader Builder for WordPress;https://ru.wordpress.org/plugins/maz-loader/;The best WordPress Preloader plugin. Create beautiful Preloaders and makes your visitors a delight to…;2 000+ активных установок;6.0.6
Anchor Block;https://ru.wordpress.org/plugins/anchor-block/;Anchor Block let you generate internal link to any section of your Gutenberg pages.;2 000+ активных установок;6.1.4
Hot Blocks;https://ru.wordpress.org/plugins/hot-blocks/;A collection of several blocks for new WordPress editor (Gutenberg).;2 000+ активных установок;6.3.2
Music Player for WooCommerce;https://ru.wordpress.org/plugins/music-player-for-woocommerce/;Music Player for WooCommerce includes the MediaElement.js music player in the pages of the products…;2 000+ активных установок;6.3.2
CP Contact Form with PayPal;https://ru.wordpress.org/plugins/cp-contact-form-with-paypal/;PayPal integration for contact forms, payment forms, order forms. Adds a contact form and connect…;2 000+ активных установок;6.3.2
Di Blocks — Awesome WordPress Blocks for Gutenberg Editor;https://ru.wordpress.org/plugins/di-blocks/;Di Blocks plugin is a collection of awesome blocks for Gutenberg Editor.;2 000+ активных установок;5.6.12
Wicked Block Conditions;https://ru.wordpress.org/plugins/wicked-block-conditions/;Show or hide blocks based on conditions.;2 000+ активных установок;6.3.2
WP Smart Editor;https://ru.wordpress.org/plugins/wp-smart-editor/;WP Smart Editor offers a custom experience with editor profiles and time saving tools for:…;2 000+ активных установок;4.9.24
Conditional Blocks — Advanced Content Visibility Control and Full Site Editing;https://ru.wordpress.org/plugins/conditional-blocks/;Conditionally show or hide ANY WordPress blocks with advanced visibility control! Effortlessly manage content block…;1 000+ активных установок;6.3.2
Testimonial — Customer Feedback, client testimonial, Review;https://ru.wordpress.org/plugins/testimonial-maker/;Testimonial — отзыв клиента, обратная связь, простой в использовании и привлекательный плагин для отзывов для…;1 000+ активных установок;6.3.2
Infobox;https://ru.wordpress.org/plugins/infobox/;Deliver your content beautifully to grab attention with an animated Infobox block.;1 000+ активных установок;6.2.3
AinoBlocks — Gutenberg Website Builder Blocks;https://ru.wordpress.org/plugins/aino-blocks/;A collection of blocks for the Gutenberg block editor to build professional WordPress websites.;1 000+ активных установок;6.1.4
